,PostalCode,DAuid,CSDuid,SAC,DisseminationBlock,DGUID
125612,V0H,59050062,5905054,997,11,2021S051259050062
232832,V0H,59050062,5905054,997,47,2021S051359050062
403675,V0H,59050062,5905054,997,11,2021S051459050062
703223,V0H,59050062,5905054,997,60,2021S051559050062
831257,V0H,59050062,5905054,997,60,2021S051659050062
959604,V0H,59050062,5905054,997,48,2021S051759050062
1002608,V0H,59050062,5905054,997,57,2021S051859050062
1023852,V0H,59050062,5905054,997,49,2021S051959050062
1045286,V0H,59050062,5905054,997,49,2021S052059050062
467709,V0H,59050063,5905054,997,59,2021S052159050063
489261,V0H,59050063,5905054,997,89,2021S052259050063
638774,V0H,59050063,5905054,997,88,2021S052359050063
660423,V0H,59050063,5905054,997,89,2021S052459050063
681790,V0H,59050063,5905054,997,24,2021S052559050063
745798,V0H,59050063,5905054,997,89,2021S052659050063
1088158,V0H,59050063,5905054,997,61,2021S052759050063
1130823,V0H,59050063,5905054,997,62,2021S052859050063
232824,V0H,59050064,5905042,998,111,2021S052959050064
318091,V0H,59050064,5905042,998,111,2021S053059050064
510459,V0H,59050064,5905042,998,0,2021S053159050064
18789,V0H,59050065,5905052,998,52,2021S053259050065
254260,V0H,59050065,5905052,998,19,2021S053359050065
318088,V0H,59050065,5905052,998,40,2021S053459050065
318090,V0H,59050065,5905052,998,49,2021S053559050065
339571,V0H,59050065,5905052,998,23,2021S053659050065
382294,V0H,59050065,5905052,998,56,2021S053759050065
745787,V0H,59050065,5905052,998,53,2021S053859050065
745788,V0H,59050065,5905052,998,35,2021S053959050065
745789,V0H,59050065,5905052,998,62,2021S054059050065
788321,V0H,59050065,5905052,998,58,2021S054159050065
852614,V0H,59050065,5905052,998,41,2021S054259050065
852617,V0H,59050065,5905052,998,24,2021S054359050065
1002598,V0H,59050065,5905052,998,59,2021S054459050065
1237835,V0H,59050065,5905052,998,52,2021S054559050065
1259096,V0H,59050065,5905052,998,20,2021S054659050065
1280673,V0H,59050065,5905052,998,55,2021S054759050065
1301885,V0H,59050065,5905052,998,57,2021S054859050065
40092,V0H,59050066,5905052,998,20,2021S054959050066
82993,V0H,59050066,5905052,998,7,2021S055059050066
147185,V0H,59050066,5905052,998,26,2021S055159050066
467698,V0H,59050066,5905052,998,1,2021S055259050066
489262,V0H,59050066,5905052,998,19,2021S055359050066
510462,V0H,59050066,5905052,998,5,2021S055459050066
595977,V0H,59050066,5905052,998,12,2021S055559050066
724362,V0H,59050066,5905052,998,20,2021S055659050066
788320,V0H,59050066,5905052,998,18,2021S055759050066
874164,V0H,59050066,5905052,998,9,2021S055859050066
938199,V0H,59050066,5905052,998,8,2021S055959050066
959588,V0H,59050066,5905052,998,6,2021S056059050066
980989,V0H,59050066,5905052,998,15,2021S056159050066
1023857,V0H,59050066,5905052,998,21,2021S056259050066
1045287,V0H,59050066,5905052,998,17,2021S056359050066
1066550,V0H,59050066,5905052,998,13,2021S056459050066
1088153,V0H,59050066,5905052,998,1,2021S056559050066
1280674,V0H,59050066,5905052,998,11,2021S056659050066
1280675,V0H,59050066,5905052,998,3,2021S056759050066
125613,V0H,59050067,5905032,998,27,2021S056859050067
189728,V0H,59050067,5905032,998,15,2021S056959050067
211155,V0H,59050067,5905032,998,17,2021S057059050067
275474,V0H,59050067,5905032,998,1,2021S057159050067
339567,V0H,59050067,5905032,998,3,2021S057259050067
339568,V0H,59050067,5905032,998,2,2021S057359050067
403678,V0H,59050067,5905032,998,25,2021S057459050067
446334,V0H,59050067,5905032,998,11,2021S057559050067
